,V.14,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Siwa island,Blue Bay,Kaslow Plains,Shell Hills,Moonlight Secret Forest,Ironwheel Beach,Steam Mine Mountain,Fairy Forest,Belcar Plateau,Plague Forest,Red Ridge,Southern Island,Angoya Island,Ancient Forest,Black Swamp,Bone Reef Peninsula,Land of Sighs,Misty Wetlands,Gaia Woodlands,Scorching Wind Desert,Lost Highlands,Blakatoa Range,Prism Island Prairie,Twin Lion Mountain,Knight Valley,Eternal Mountains,Oblivion Border,Winterflake Forest,Ancient Polar Ruins,Auris Bay,Spirit Valley,Misty Plateau,Golden Sandbar,Aurawhisp Hamlet,Frostfire Pass,Heirloom Peninsula,Blood Soaked Bay,Sprite Tear Forest,Kaslow Wilderness,Sorrow Peninsula,Glazefrost Mountains,Dreamer's Plateau,Vapor Vale,Dazzledell Hollow,Port Riptide,Alt. Dimension - Ironwheel Beach,Alt. Dimension - Steam Mine Mountain,Alt. Dimension - Red Ridge,Alternate Sprites' Forest,Alternate Plague Forest,Alternate Kaslow Plains,Alternate Dimension - Gaia Woodlands,Alternate Dimension,Alternate Dimension Forest - Ancient Forest,Alternate Dimension - Knight Valley,Alternate Dimension - Auris Bay,Alternate Dimension - Ancient Polar Ruins,Kaslow,Ilya,Jale,Guild Base
1,Siwa island,C1,150,500,150,500,150,500,1200,6000,15400,1200,6000,15400,1200,6000,15400,22400,30600,40000,22400,30600,40000,52800,52800,67200,67200,83200,83200,100800,100800,100800,120000,120000,158000,158000,158000,83200,120000,158000,158000,197300,236600,236600,280000,330000,83200,120000,158000,236600,280000,330000,236600,280000,330000,236600,280000,330000,50,50,50,50
2,Blue Bay,50,C1,500,150,500,150,500,1200,6000,15400,1200,6000,15400,1200,6000,15400,22400,30600,40000,22400,30600,40000,52800,52800,67200,67200,83200,83200,100800,100800,100800,120000,120000,158000,158000,158000,83200,120000,158000,158000,197300,236600,236600,280000,330000,83200,120000,158000,236600,280000,330000,236600,280000,330000,236600,280000,330000,50,50,50,50
3,Kaslow Plains,50,150,C1,150,500,150,500,1200,6000,15400,1200,6000,15400,1200,6000,15400,22400,30600,40000,22400,30600,40000,52800,52800,67200,67200,83200,83200,100800,100800,100800,120000,120000,158000,158000,158000,83200,120000,158000,158000,197300,236600,236600,280000,330000,83200,120000,158000,236600,280000,330000,236600,280000,330000,236600,280000,330000,50,50,50,50
4,Shell Hills,50,150,500,C1,500,150,500,1200,6000,15400,1200,6000,15400,1200,6000,15400,22400,30600,40000,22400,30600,40000,52800,52800,67200,67200,83200,83200,100800,100800,100800,120000,120000,158000,158000,158000,83200,120000,158000,158000,197300,236600,236600,280000,330000,83200,120000,158000,236600,280000,330000,236600,280000,330000,236600,280000,330000,50,50,50,50
5,Moonlight Secret Forest,50,150,500,150,C1,150,500,1200,6000,15400,1200,6000,15400,1200,6000,15400,22400,30600,40000,22400,30600,40000,52800,52800,67200,67200,83200,83200,100800,100800,100800,120000,120000,158000,158000,158000,83200,120000,158000,158000,197300,236600,236600,280000,330000,83200,120000,158000,236600,280000,330000,236600,280000,330000,236600,280000,330000,50,50,50,50
6,Ironwheel Beach,50,150,500,150,500,C1,500,1200,6000,15400,1200,6000,15400,1200,6000,15400,22400,30600,40000,22400,30600,40000,52800,52800,67200,67200,83200,83200,100800,100800,100800,120000,120000,158000,158000,158000,83200,120000,158000,158000,197300,236600,236600,280000,330000,83200,120000,158000,236600,280000,330000,236600,280000,330000,236600,280000,330000,50,50,50,50
7,Steam Mine Mountain,50,150,500,150,500,150,C1,1200,6000,15400,1200,6000,15400,1200,6000,15400,22400,30600,40000,22400,30600,40000,52800,52800,67200,67200,83200,83200,100800,100800,100800,120000,120000,158000,158000,158000,83200,120000,158000,158000,197300,236600,236600,280000,330000,83200,120000,158000,236600,280000,330000,236600,280000,330000,236600,280000,330000,50,50,50,50
8,Fairy Forest,50,150,500,150,500,150,500,C1,6000,15400,1200,6000,15400,1200,6000,15400,22400,30600,40000,22400,30600,40000,52800,52800,67200,67200,83200,83200,100800,100800,100800,120000,120000,158000,158000,158000,83200,120000,158000,158000,197300,236600,236600,280000,330000,83200,120000,158000,236600,280000,330000,236600,280000,330000,236600,280000,330000,50,50,50,50
